Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"789 PROSPECT, Buffalo",99.58-2-40,"$100,000 ",6/9/2016,"$52,600 ",Residential - 3 Family Res,36 x 200,1897,"3,438",6/3/2000
"21 OJIBWA CIR, Buffalo",110.68-4-9,"$850,577 ",6/10/2016,"$550,000 ",Residential - 1 Family Res,27.66 x 100.91,2016,"3,220",3 / 3.5 / 2
"47 ELMWOOD, Buffalo",100.77-7-24,"$147,000 ",6/10/2016,"$120,000 ",Residential - 2 Family Res,30 x 120,1880,"2,342",4/2/2000
"19 COLUMBUS, Buffalo",133.39-3-3,"$55,000 ",6/10/2016,"$69,500 ",Residential - 2 Family Res,40 x 107,1925,"2,826",6/2/2000
"514 CONNECTICUT, Buffalo",99.60-5-2.1,"$40,000 ",6/10/2016,"$28,000 ",Residential - 2 Family Res,44.83 x 116.5,1920,"2,311",5 / 2.5 / 0
"127 GREENE, Buffalo",112.50-1-40,"$56,000 ",6/10/2016,"$49,000 ",Residential - 2 Family Res,30 x 115,1900,"2,016",4/2/2000
"11 HUBBELL, Buffalo",133.31-3-1,"$65,000 ",6/10/2016,"$65,000 ",Residential - 1 Family Res,51.5 x 39.5,1940,"1,973",4 / 1.5 / 1
"112 ACADEMY, Buffalo",101.58-2-12,"$62,000 ",6/10/2016,"$57,000 ",Residential - 2 Family Res,35 x 140,1937,"2,300",6/2/2000
"53 COLLEGE, Buffalo",100.77-9-7,"$248,000 ",6/10/2016,"$105,900 ",Residential - 2 Family Res,25 x 100,1890,"1,890",4/2/2000
"200 DELAWARE, Buffalo",111.37-5-6./1609,"$1,800,000 ",6/13/2016,"$496,541 ",Commercial - Apartment,2 x 217.14,1969,"2,323",2 / 2.5 / 0
"230 ORA WRIGHTER DR, Buffalo",111.63-1-36,"$72,000 ",6/13/2016,"$32,000 ",Residential - 1 Family Res,23.52 x 71.88,1999,"1,140",3 / 1.5 / 0
"110 WINSPEAR WEST, Buffalo",79.54-3-17,"$102,500 ",6/13/2016,"$58,800 ",Residential - 1 Family Res,34 x 109,1925,"1,248",4/1/2000
"125 DUNDEE, Buffalo",133.67-5-9,"$120,500 ",6/13/2016,"$65,000 ",Residential - 1 Family Res,50 x 112,1951,879,2/1/2000
"94 LOVERING, Buffalo",78.56-6-15,"$178,000 ",6/13/2016,"$107,000 ",Residential - 1 Family Res,35 x 150,1925,"1,596",3 / 1.5 / 0
"93 PEARL ST, Buffalo",111.69-3-6,"$3,100,000 ",6/13/2016,"$650,000 ",Commercial - Parking gar,140.23 x 0,,,
"91 ROSS, Buffalo",77.49-2-52,"$90,000 ",6/13/2016,"$42,000 ",Residential - 2 Family Res,31 x 110,1910,"1,936",5/2/2000
"1290 KENSINGTON, Buffalo",90.25-3-30,"$33,000 ",6/14/2016,"$36,000 ",Residential - 1 Family Res,30 x 110,1920,"1,094",3/1/2000
"1042 ELMWOOD, Buffalo",89.69-3-9,"$300,000 ",6/14/2016,"$128,000 ",Commercial - Apartment,25 x 150,,,
"287 POTTERS, Buffalo",133.67-2-4,"$167,000 ",6/14/2016,"$114,400 ",Residential - 1 Family Res,40 x 140,1930,"2,144",6/2/2000
"54 PAUL, Buffalo",123.72-3-37,"$80,000 ",6/14/2016,"$58,200 ",Residential - 2 Family Res,32 x 104.39,1931,"2,300",6/2/2002
"68 SEMINOLE, Buffalo",123.65-5-20,"$94,800 ",6/14/2016,"$68,600 ",Residential - 2 Family Res,35 x 100,1928,"2,548",6/2/2001
"1119 DELAWARE, Buffalo",100.39-1-41,"$399,000 ",6/14/2016,"$200,000 ",Residential - 1 Family Res,22.66 x 55,1989,"1,840",3 / 2.5 / 1
"153 STEWART, Buffalo",101.51-3-7,"$50,000 ",6/14/2016,"$63,500 ",Residential - 2 Family Res,35 x 145,1930,"2,293",5/2/2000
"785 CRESCENT, Buffalo",78.81-2-36,"$245,000 ",6/15/2016,"$148,000 ",Residential - 1 Family Res,40 x 100,1920,"2,473",4/3/2001
"356 OLYMPIC, Buffalo",90.48-1-18,"$23,000 ",6/15/2016,"$38,700 ",Residential - 2 Family Res,33 x 120,1925,"1,583",3/2/2000
"712 PROSPECT, Buffalo",99.66-3-15,"$118,000 ",6/15/2016,"$44,000 ",Residential - 1 Family Res,30 x 132,1875,"1,915",4/1/2000
"37 EAGLEWOOD, Buffalo",133.32-8-9,"$120,000 ",6/15/2016,"$74,500 ",Residential - 1 Family Res,32 x 105,1905,"1,137",4/1/2000
"388 PEARL ST, Buffalo",111.38-9-4,"$1,675,000 ",6/15/2016,"$885,000 ",Commercial - Office bldg.,99 x 110,,,
"54 HARVEST, Buffalo",78.42-5-7,"$129,775 ",6/15/2016,"$83,000 ",Residential - 1 Family Res,50 x 125,1950,"1,020",4/1/2000
"220 WEST, Buffalo",99.84-3-21.1,"$277,500 ",6/16/2016,"$103,000 ",Residential - 1 Family Res,75 x 148,2003,"2,050",3 / 2.5 / 0
"433 NORWOOD, Buffalo",100.29-2-1,"$308,000 ",6/16/2016,"$110,000 ",Commercial - Apartment,35 x 70,,,
"885 NIAGARA, Buffalo",99.58-6-1,"$140,000 ",6/16/2016,"$1,730,000 ",Commercial - Det row bldg,141 x 219,,,
"604 PARKSIDE, Buffalo",78.74-2-18,"$180,000 ",6/16/2016,"$134,200 ",Residential - 2 Family Res,33.33 x 185,1920,"3,127",6/2/2002
"286 COMMONWEALTH, Buffalo",78.48-3-17,"$210,000 ",6/16/2016,"$98,000 ",Residential - 2 Family Res,36 x 150,1926,"2,184",6/2/2000
"2437 BAILEY, Buffalo",90.81-1-27,"$32,000 ",6/16/2016,"$28,000 ",Residential - 2 Family Res,29 x 115,1900,"2,200",5/2/2000
"47 GLOR, Buffalo",88.27-1-33,"$35,000 ",6/17/2016,"$24,000 ",Residential - 1 Family Res,30 x 110,1880,"1,040",2/1/2000
"52 LA FORCE, Buffalo",77.67-1-9,"$80,300 ",6/17/2016,"$32,000 ",Residential - 1 Family Res,30 x 115,1890,"1,058",3/1/2000
"233 STERLING, Buffalo",78.58-7-21,"$200,000 ",6/17/2016,"$140,000 ",Residential - 1 Family Res,40 x 131,1917,"1,968",3/1/2001
"84 OJIBWA, Buffalo",110.59-1-4.21/15,"$470,000 ",6/17/2016,"$200,000 ",Residential - 1 Family Res,6 x 318.75,1985,"1,702",3 / 2.5 / 1
"54 NEW AMSTERDAM, Buffalo",78.19-1-7,"$543,000 ",6/17/2016,"$275,000 ",Residential - 1 Family Res,75 x 160,1955,"2,214",3 / 3.5 / 1
"16 LORRAINE, Buffalo",133.40-5-57,"$79,500 ",6/17/2016,"$74,900 ",Residential - 2 Family Res,40.11 x 110,1927,"2,688",4/2/2000
"526 TAUNTON, Buffalo",78.51-1-35,"$96,000 ",6/17/2016,"$75,000 ",Residential - 1 Family Res,40 x 130,1955,"1,026",3/1/2000
"698 PROSPECT, Buffalo",99.66-3-19,"$126,500 ",6/17/2016,"$57,300 ",Residential - Multiple res,36 x 132,1820,"2,944",4/2/2000
"185 WOODBRIDGE, Buffalo",78.76-5-28,"$390,000 ",6/17/2016,"$337,300 ",Residential - 1 Family Res,60 x 156,1920,"3,176",4 / 3.5 / 2
"218 DEARBORN, Buffalo",88.41-2-14,"$40,000 ",6/17/2016,"$25,000 ",Residential - 1 Family Res,33 x 99,1877,"1,175",3/1/2000
"68 CABLE, Buffalo",123.50-1-21,"$50,000 ",6/17/2016,"$53,600 ",Residential - 1 Family Res,30 x 100,1910,"1,113",3/1/2000
"85 BEARD, Buffalo",89.28-6-4,"$490,000 ",6/17/2016,"$351,000 ",Residential - 1 Family Res,60 x 175,1925,"3,552",4 / 3.5 / 1
"217 NORWOOD, Buffalo",100.45-2-51,"$365,000 ",6/17/2016,"$200,000 ",Residential - 3 Family Res,30 x 130,1900,"2,712",5/3/2000
"167 WOODBRIDGE, Buffalo",78.76-5-25,"$472,500 ",6/17/2016,"$295,000 ",Residential - 1 Family Res,56 x 155,1927,"2,341",5 / 1.5 / 1
"215 NORMAL, Buffalo",99.59-5-1,"$115,000 ",6/17/2016,"$40,000 ",Residential - 2 Family Res,40 x 149,1910,"2,626",6/2/2000
"51 FOLGER, Buffalo",133.38-2-32,"$56,500 ",6/17/2016,"$55,000 ",Residential - 2 Family Res,40 x 120,1948,"1,640",4/2/2000
"84 TAUNTON, Buffalo",78.48-1-25,"$142,507 ",6/20/2016,"$98,500 ",Residential - 1 Family Res,32 x 132,1927,"1,412",3/1/2001
"303 WHITFIELD, Buffalo",133.57-1-7,"$128,000 ",6/20/2016,"$107,300 ",Residential - 1 Family Res,50 x 116,1967,"1,288",2/1/2000
"29 COLLEGE, Buffalo",111.21-2-5,"$293,000 ",6/20/2016,"$85,000 ",Commercial - Apartment,35 x 100,,,
"57 TYLER, Buffalo",79.46-7-24,"$85,000 ",6/20/2016,"$52,000 ",Residential - 2 Family Res,30 x 115,1923,"2,077",4/2/2000
"28 PRITCHARD, Buffalo",123.74-6-7,"$68,900 ",6/20/2016,"$59,000 ",Residential - 1 Family Res,75 x 108.42,1950,"1,080",3/1/2000
"112 POOLEY, Buffalo",88.67-1-50,"$23,000 ",6/20/2016,"$18,000 ",Residential - 1 Family Res,27 x 149,1900,935,2/1/2000
"580 FERRY WEST, Buffalo",100.29-2-21,"$704,900 ",6/20/2016,"$420,000 ",Residential - 1 Family Res,68 x 200,1900,"6,162",5 / 4.5 / 3
"159 WESLEY, Buffalo",79.69-1-48,"$230,000 ",6/20/2016,"$95,000 ",Residential - 2 Family Res,48 x 80,1900,"2,430",6/2/2000
"148 THOMPSON, Buffalo",88.33-4-10,"$45,500 ",6/20/2016,"$30,000 ",Residential - 2 Family Res,33 x 110,1900,"1,792",6/2/2000
"129 CARLYLE, Buffalo",133.75-3-18,"$135,000 ",6/20/2016,"$82,000 ",Residential - 1 Family Res,40 x 168,1953,"1,374",3 / 1.5 / 0
"237 BARTON, Buffalo",99.26-5-25,"$115,000 ",6/21/2016,"$36,000 ",Residential - 2 Family Res,26.5 x 0,1900,"2,112",6/2/2000
"96 FORDHAM, Buffalo",89.30-1-2,"$315,000 ",6/21/2016,"$183,000 ",Residential - 1 Family Res,40 x 122,1918,"2,127",4 / 1.5 / 1
"124 ZELMER, Buffalo",101.42-1-25,"$16,800 ",6/21/2016,"$32,000 ",Residential - 1 Family Res,30 x 125,1920,920,2/1/2000
"1156 LOVEJOY, Buffalo",112.42-4-30,"$37,500 ",6/21/2016,"$30,000 ",Commercial - Det row bldg,30 x 126,,,
"390 TACOMA, Buffalo",78.57-2-13,"$255,000 ",6/21/2016,"$110,000 ",Residential - 2 Family Res,50 x 140,1920,"3,248",6/2/2000
"132 LAKEFRONT, Buffalo",110.68-4-1./203,"$330,000 ",6/21/2016,"$329,000 ",Residential - 1 Family Res,3.5 x 317.67,2009,"1,342",1/1/2001
"69 RACHEL VINCENT WAY, Buffalo",78.49-7-19,"$330,000 ",6/21/2016,"$257,000 ",Residential - 1 Family Res,55 x 86.31,2012,"1,773",3 / 2.5 / 1
"122 MAYER, Buffalo",77.58-3-18,"$47,000 ",6/22/2016,"$39,000 ",Residential - 1 Family Res,25 x 100,1920,"1,079",3/1/2000
"150 CHADDUCK, Buffalo",77.40-6-22,"$70,000 ",6/22/2016,"$45,000 ",Residential - 1 Family Res,30 x 105,1917,"1,292",4/1/2000
"97 SPAULDING, Buffalo",133.22-6-7,"$43,000 ",6/22/2016,"$49,600 ",Residential - 2 Family Res,30 x 100,1910,"2,576",6/2/2000
"133 WHITNEY, Buffalo",110.36-4-2.1,"$257,500 ",6/22/2016,"$95,000 ",Residential - 1 Family Res,49 x 89,1982,"1,380",2/2/2000
"175 WELLINGTON, Buffalo",78.66-3-22,"$287,500 ",6/22/2016,"$145,000 ",Residential - 1 Family Res,39 x 130,1923,"2,426",3 / 1.5 / 1
"191 FOX, Buffalo",111.27-3-35,"$16,000 ",6/23/2016,"$16,200 ",Residential - 1 Family Res,30 x 132,1900,"1,826",3/1/2000
"24 HAGEN, Buffalo",101.33-3-13,"$36,000 ",6/23/2016,"$49,500 ",Residential - 2 Family Res,37 x 90,1925,"1,786",4/2/2000
"53 COLUMBUS, Buffalo",133.39-3-13,"$130,600 ",6/23/2016,"$78,500 ",Residential - 2 Family Res,35 x 109,1925,"2,894",6/2/2000
"454 PORTER, Buffalo",99.68-10-19,"$299,000 ",6/23/2016,"$75,000 ",Residential - 1 Family Res,43 x 79,1865,"2,200",4 / 1.5 / 1
"215 STEVENSON, Buffalo",123.73-7-2,"$76,000 ",6/23/2016,"$64,500 ",Residential - 2 Family Res,32 x 114,1925,"2,332",6/2/2000
"203 VILLA, Buffalo",78.40-2-19,"$145,000 ",6/23/2016,"$85,000 ",Residential - 1 Family Res,33 x 100,1920,"1,608",3/1/2000
"65 BLANTYRE, Buffalo",78.51-2-25,"$165,000 ",6/23/2016,"$129,000 ",Residential - 1 Family Res,35 x 117,1928,"2,124",4 / 1.5 / 1
"196 ENGLEWOOD, Buffalo",79.38-9-12,"$122,500 ",6/23/2016,"$65,000 ",Residential - 2 Family Res,35 x 115,1925,"2,560",7/2/2000
"74 HAYDEN, Buffalo",123.73-3-15,"$60,000 ",6/23/2016,"$52,600 ",Residential - 2 Family Res,30 x 110,1925,"2,325",6/2/2000
"21 JANET, Buffalo",90.35-3-22,"$52,500 ",6/24/2016,"$45,000 ",Residential - 2 Family Res,45 x 175,1940,"2,110",4/2/2000
"433 CAMBRIDGE, Buffalo",90.63-5-30,"$31,200 ",6/24/2016,"$31,400 ",Residential - 1 Family Res,31.5 x 125,1930,"1,431",4/1/2000
"377 STARIN, Buffalo",78.60-1-21,"$282,500 ",6/24/2016,"$190,000 ",Residential - 1 Family Res,40 x 140,1925,"2,213",4/2/2002
"721 TONAWANDA, Buffalo",77.65-7-62,"$62,000 ",6/24/2016,"$60,000 ",Commercial - Det row bldg,37 x 120,,,
"43 BRINTON, Buffalo",79.37-4-26,"$131,000 ",6/24/2016,"$68,500 ",Residential - 1 Family Res,35 x 125,1926,"1,626",4/2/2000
"103 LAIRD, Buffalo",77.49-1-26,"$65,000 ",6/24/2016,"$55,000 ",Residential - 2 Family Res,35 x 110,1925,"1,532",4/2/2000
"2014 HERTEL, Buffalo",79.61-2-28,"$118,000 ",6/24/2016,"$42,500 ",Residential - 2 Family Res,34.56 x 195,1920,"2,201",6/2/2000
"1232 WEST, Buffalo",88.74-7-11,"$60,000 ",6/24/2016,"$35,000 ",Commercial - Det row bldg,42 x 50,,,
"121 PAGE, Buffalo",77.60-1-19,"$82,600 ",6/24/2016,"$55,000 ",Residential - 1 Family Res,46.5 x 104.5,1955,"1,008",3/1/2000
"212 SANDERS, Buffalo",78.40-2-56,"$150,000 ",6/24/2016,"$83,200 ",Residential - 1 Family Res,36.75 x 125,1928,"1,408",3/1/2001
"34 ABBOTTSFORD, Buffalo",88.68-4-14,"$140,000 ",6/27/2016,"$44,500 ",Residential - 2 Family Res,30 x 138,1900,"2,024",5/2/2000
"275 NEWFIELD, Buffalo",77.25-4-17,"$80,120 ",6/27/2016,"$49,000 ",Residential - 2 Family Res,30 x 119,1926,"1,931",4/2/2000
"1821 BAILEY, Buffalo",101.65-11-10,"$35,800 ",6/27/2016,"$35,700 ",Residential - 2 Family Res,35 x 120,1895,"2,068",5/2/2000
"38 TRACY, Buffalo",111.29-8-22,"$770,000 ",6/27/2016,"$420,000 ",Commercial - Apartment,28.14 x 108,,,
"84 KNOX, Buffalo",78.80-1-50,"$145,700 ",6/27/2016,"$90,000 ",Residential - 1 Family Res,38 x 0,1955,"1,200",3 / 1.5 / 0
"21 PARKSIDE, Buffalo",89.50-7-1,"$204,500 ",6/27/2016,"$168,400 ",Residential - 1 Family Res,50 x 175,1905,"2,674",4 / 2.5 / 1
"136 DELAVAN WEST, Buffalo",88.82-3-40,"$84,158 ",6/27/2016,"$35,000 ",Residential - 2 Family Res,30 x 151,1900,"1,806",4/2/2000
"84 OJIBWA, Buffalo",110.59-1-4.21/12,"$470,000 ",6/27/2016,"$207,000 ",Residential - 1 Family Res,6 x 318.75,1985,"2,021",3 / 2.5 / 1
"76 PONTIAC ST, Buffalo",123.43-7-20,"$103,000 ",6/27/2016,"$64,600 ",Residential - 1 Family Res,66 x 104,1945,896,2/1/2000
"82 OJIBWA, Buffalo",110.59-1-4.21/10,"$382,500 ",6/27/2016,"$140,000 ",Residential - 1 Family Res,6 x 318.75,1985,"1,270",2 / 1.5 / 1
"192 VICTORIA, Buffalo",90.37-3-32,"$28,000 ",6/27/2016,"$21,600 ",Residential - 2 Family Res,30 x 79,1920,"1,856",6/2/2000
"849 DELAWARE, Buffalo",100.54-3-9./803,"$290,000 ",6/28/2016,"$43,130 ",Commercial - Apartment,87.83 x 290,1961,973,2 / 1.5 / 0
"47 HUMPHREY, Buffalo",77.64-5-36,"$93,000 ",6/28/2016,"$59,000 ",Residential - 2 Family Res,30 x 110,1930,"2,104",6/2/2000
"205 CRESTWOOD, Buffalo",78.57-8-21,"$177,000 ",6/28/2016,"$100,000 ",Residential - 1 Family Res,33 x 140,1916,"1,468",3/1/2000
"452 POTOMAC, Buffalo",88.76-4-36,"$315,000 ",6/28/2016,"$117,000 ",Residential - 2 Family Res,34 x 135,1900,"2,976",6/2/2000
"41 POTOMAC, Buffalo",88.74-7-2,"$375,000 ",6/28/2016,"$3,600 ",Vacant Land - Vacant comm,49 x 99,,,
"322 TAUNTON, Buffalo",78.50-1-15,"$77,250 ",6/28/2016,"$72,000 ",Residential - 1 Family Res,41 x 121,1948,893,2/1/2000
"43 ST FLORIAN, Buffalo",77.76-3-23,"$116,000 ",6/28/2016,"$54,000 ",Residential - 2 Family Res,33 x 130,1910,"1,852",4/2/2000
"70 REED, Buffalo",111.35-5-48,"$29,000 ",6/28/2016,"$12,500 ",Residential - 3 Family Res,30 x 115,1900,"1,980",5/3/2000
"157 FARMER, Buffalo",88.25-3-1,"$47,000 ",6/28/2016,"$45,000 ",Residential - Res w/Comuse,57.5 x 85,1880,"2,950",4/2/2000
"124 RANO, Buffalo",77.65-5-52,"$32,000 ",6/29/2016,"$30,000 ",Residential - 1 Family Res,30 x 115,1917,"1,494",4/1/2000
"1634 BAILEY, Buffalo",112.24-6-1,"$86,000 ",6/29/2016,"$47,000 ",Commercial - Det row bldg,35 x 110,,,
"53 NORTH PARKER, Buffalo",79.37-8-15,"$125,000 ",6/29/2016,"$80,000 ",Residential - 1 Family Res,53 x 120,1955,988,2/1/2000
"147 UNIVERSITY AVE, Buffalo",79.38-3-22,"$216,000 ",6/29/2016,"$189,300 ",Residential - 1 Family Res,40 x 120,1915,"1,922",3 / 1.5 / 1
"920 LAFAYETTE AVE, Buffalo",89.80-1-16,"$225,100 ",6/29/2016,"$35,000 ",Residential - 1 Family Res,41.03 x 40,1920,"1,647",4/2/2001
"155 ROOSEVELT, Buffalo",90.42-5-10,"$52,900 ",6/29/2016,"$39,000 ",Residential - 1 Family Res,31.4 x 0,1930,"1,254",3/1/2000
"94 BICKFORD, Buffalo",90.25-4-51,"$39,000 ",6/29/2016,"$37,600 ",Residential - 1 Family Res,32 x 105,1925,"1,141",3/1/2001
"110 LA SALLE, Buffalo",79.71-9-6,"$70,000 ",6/29/2016,"$65,000 ",Residential - 2 Family Res,40 x 140,1925,"2,872",6/2/2000
"125 EDWARD, Buffalo",111.22-10-5.1/1I,"$133,900 ",6/29/2016,"$26,000 ",Commercial - Apartment,7 x 120,1900,895,1/1/2000
"152 HEDLEY, Buffalo",89.75-7-26,"$115,000 ",6/29/2016,"$56,900 ",Residential - 2 Family Res,35 x 120,1920,"2,108",4/2/2001
"174 REBECCA PARK, Buffalo",77.52-3-2,"$105,000 ",6/29/2016,"$78,000 ",Residential - 1 Family Res,25 x 44,1988,"1,072",2 / 1.5 / 1
"155 WINSTON, Buffalo",78.60-4-33,"$205,000 ",6/29/2016,"$134,300 ",Residential - 1 Family Res,54 x 130,1951,"1,580",3 / 1.5 / 0
"60 TENNYSON, Buffalo",78.63-2-9,"$220,000 ",6/29/2016,"$109,700 ",Residential - 1 Family Res,40 x 148,1920,"2,218",4 / 1.5 / 0
"322 UTICA WEST, Buffalo",100.45-3-1,"$380,000 ",6/30/2016,"$174,000 ",Residential - 1 Family Res,35 x 99,1900,"2,310",3 / 1.5 / 0
"356 CRESCENT, Buffalo",89.35-5-19,"$269,900 ",6/30/2016,"$189,000 ",Residential - 1 Family Res,50 x 224,1920,"3,695",5/3/2001
"72 TACOMA, Buffalo",78.54-3-29,"$210,000 ",6/30/2016,"$128,000 ",Residential - 2 Family Res,35 x 122,1920,"2,688",6/2/2000
"5 LINCOLN WOODS, Buffalo",89.70-1-31,"$575,000 ",6/30/2016,"$395,000 ",Residential - 1 Family Res,50 x 96,1940,"1,908",3 / 2.5 / 2
"453 FERRY WEST, Buffalo",99.36-5-8,"$25,000 ",6/30/2016,"$35,000 ",Residential - 2 Family Res,30 x 143,1899,"2,748",7/2/2000
"33 DELHAM, Buffalo",89.23-3-6,"$185,000 ",6/30/2016,"$116,000 ",Residential - 1 Family Res,39 x 140,1950,"1,804",3/3/2000
"336 SHIRLEY, Buffalo",79.73-5-28,"$35,500 ",6/30/2016,"$35,900 ",Residential - 1 Family Res,32 x 108,1925,"1,056",3/1/2000
"165 BICKFORD, Buffalo",90.34-1-3,"$36,000 ",6/30/2016,"$33,800 ",Residential - 1 Family Res,36.53 x 104,1925,986,4/1/2000
"146 LEWIS, Buffalo",112.61-4-14,"$49,700 ",6/30/2016,"$28,000 ",Residential - 1 Family Res,32 x 120,1930,"1,448",4 / 1.5 / 0
"115 PLYMOUTH, Buffalo",99.76-8-34,"$296,000 ",6/30/2016,"$100,000 ",Residential - 1 Family Res,30 x 132,1877,"2,370",4/2/2001
"1331 BROADWAY, Buffalo",112.23-11-3,"$19,000 ",6/30/2016,"$12,000 ",Commercial - Det row bldg,33.67 x 0,,,
"3065 BAILEY, Buffalo",90.33-1-26,"$285,000 ",6/30/2016,"$110,000 ",Commercial - Det row bldg,87.3 x 0,,,
"720 PARKSIDE, Buffalo",78.66-4-6,"$260,000 ",6/30/2016,"$132,000 ",Residential - 1 Family Res,40 x 146,1920,"2,166",3 / 1.5 / 0
"133 WOODSIDE, Buffalo",133.56-3-12,"$97,000 ",6/30/2016,"$55,000 ",Residential - 1 Family Res,35 x 120,1926,990,3/1/2000
"86 CHELTENHAM, Buffalo",78.62-2-6,"$156,000 ",6/30/2016,"$83,000 ",Residential - 1 Family Res,32 x 136,1927,"1,326",3/1/2000
"109 BENZINGER, Buffalo",112.50-4-22,"$25,555 ",6/30/2016,"$30,000 ",Residential - 1 Family Res,30 x 134,1940,"1,008",3 / 1.5 / 0
"31 HOUSTON, Buffalo",133.22-7-7,"$52,500 ",6/30/2016,"$43,400 ",Residential - 2 Family Res,30 x 100,1920,"1,705",4/2/2000
"40 FREEMAN, Buffalo",90.40-7-7,"$24,000 ",6/30/2016,"$42,000 ",Residential - 1 Family Res,33 x 142,1820,"1,426",3/1/2000
"244 ROESCH, Buffalo",77.25-2-17,"$74,000 ",6/30/2016,"$48,000 ",Residential - 1 Family Res,28.86 x 109,1917,"1,118",4/2/2000
"157 STRATFORD, Buffalo",78.54-2-35,"$219,900 ",7/1/2016,"$105,000 ",Residential - 2 Family Res,35 x 117,1924,"2,699",6/2/2000
"252 NORWOOD, Buffalo",100.37-9-9,"$315,000 ",7/1/2016,"$140,000 ",Residential - 1 Family Res,31 x 108,1910,"2,080",4 / 1.5 / 0
"367 MARILLA, Buffalo",133.70-2-5,"$63,000 ",7/1/2016,"$51,700 ",Residential - 2 Family Res,33 x 120,1930,"2,332",6/2/2000
"72 CHENANGO, Buffalo",99.44-4-13,"$87,500 ",7/1/2016,"$42,000 ",Residential - 1 Family Res,30 x 100,1860,"1,948",3 / 1.5 / 1
"206 ELLICOTT, Buffalo",111.54-4-2.1/706,"$365,000 ",7/1/2016,"$146,489 ",Commercial - Apartment,2 x 100.66,1955,"1,665",2/2/2000
"1484 KENSINGTON, Buffalo",79.83-2-26,"$92,000 ",7/1/2016,"$75,000 ",Residential - 2 Family Res,44 x 139,1940,"1,683",4/2/2000
"353 NORWOOD, Buffalo",100.29-5-26,"$399,500 ",7/1/2016,"$175,000 ",Residential - 2 Family Res,35 x 0,1910,"2,412",6 / 2.5 / 0
"125 EDWARD, Buffalo",111.22-10-5.1/3G,"$170,495 ",7/1/2016,"$26,000 ",Commercial - Apartment,7 x 120,1900,"1,113",1/1/2000
"85 UTICA EAST, Buffalo",100.48-6-21,"$19,000 ",7/1/2016,"$25,400 ",Commercial - Det row bldg,35 x 130,,,
"33 LEAMINGTON, Buffalo",123.14-3-5,"$59,900 ",7/1/2016,"$43,000 ",Residential - 1 Family Res,30 x 90,1910,900,3 / 1.5 / 0
"41 TACOMA, Buffalo",78.54-4-13,"$215,000 ",7/1/2016,"$92,800 ",Residential - 2 Family Res,35 x 122,1915,"2,543",6/2/2001
"322 AUBURN, Buffalo",99.27-3-24,"$40,000 ",7/1/2016,"$40,000 ",Residential - 2 Family Res,37.5 x 272,1900,"3,126",6/2/2000
"231 COLUMBUS, Buffalo",133.32-6-4,"$115,000 ",7/1/2016,"$61,700 ",Residential - 1 Family Res,30 x 105,1920,"1,332",3/1/2000
"92 REES, Buffalo",88.51-3-24,"$49,000 ",7/1/2016,"$3,400 ",Vacant Land - Res vac land,29.66 x 73,,,
"43 PAUL, Buffalo",123.72-5-11,"$82,000 ",7/1/2016,"$58,500 ",Residential - 2 Family Res,35 x 125,1928,"2,175",4/2/2000
"46 HIGHLAND, Buffalo",100.38-2-77,"$525,000 ",7/1/2016,"$250,000 ",Residential - 1 Family Res,41.25 x 117,1900,"3,259",4 / 4.5 / 1
"126 HARTWELL, Buffalo",78.46-3-28,"$150,000 ",7/1/2016,"$95,000 ",Residential - 1 Family Res,40 x 113,1920,"1,984",3 / 1.5 / 0
"326 PLYMOUTH, Buffalo",99.67-3-1,"$175,000 ",7/2/2016,"$60,000 ",Commercial - Other Storage,51 x 0,,,
"206 ELLICOTT, Buffalo",111.54-4-2.1/303,"$270,000 ",7/5/2016,"$120,976 ",Commercial - Apartment,2 x 100.66,1955,"1,375",2/2/2000
"32 HIGHLAND, Buffalo",100.38-2-81,"$369,000 ",7/5/2016,"$230,000 ",Residential - 1 Family Res,33.33 x 138,1880,"2,852",4 / 2.5 / 1
"327 CRESTWOOD, Buffalo",78.49-5-37,"$195,000 ",7/5/2016,"$85,000 ",Residential - 2 Family Res,33 x 150,1920,"2,024",4/2/2000
"710 POTOMAC, Buffalo",89.70-1-36./115,"$220,000 ",7/5/2016,"$25,400 ",Commercial - Apartment,11 x 0,1985,"1,225",3/1/2000
"19 CALUMET, Buffalo",77.81-4-17,"$83,500 ",7/5/2016,"$40,000 ",Residential - 2 Family Res,31 x 107,1900,"1,680",4/2/2000
"141 GORSKI, Buffalo",123.41-4-47,"$79,900 ",7/5/2016,"$49,000 ",Residential - 1 Family Res,30 x 100,1925,"1,350",4/2/2000
"103 GERMAIN, Buffalo",88.27-4-48,"$59,000 ",7/5/2016,"$25,000 ",Residential - 1 Family Res,30 x 100,1900,"1,290",3/1/2000
"144 PHILADELPHIA, Buffalo",77.42-4-9,"$68,900 ",7/5/2016,"$50,000 ",Residential - 2 Family Res,30 x 123.5,1925,"2,076",5/2/2000
"145 SHEFFIELD, Buffalo",133.56-2-20,"$73,500 ",7/6/2016,"$55,700 ",Residential - 1 Family Res,30 x 115,1903,"1,078",3/1/2000
"45 TILLINGHAST, Buffalo",78.81-4-5,"$510,000 ",7/6/2016,"$225,000 ",Residential - 1 Family Res,50 x 140,1920,"2,986",3 / 2.5 / 1
